Wrong,Right
"Regarding the programme you have organised,  it is a great ideas  everything that you have  planed everything that you have planned is a great idea, but I would like to suggest to you something that the students saw in an advertisement.","Regarding the programme you have organised,  idea  everything that you have  planned everything that you have planned is a great idea, but I would like to suggest to you something that the students saw in an advertisement."
"It is a good start to go on a sightseeing  by bus on Monday morning, because we can se  all the famous buildings in a few hours.",It is a good start to go on a sightseeing  see  all the famous buildings in a few hours.
It's   seems will be relaxing to go to Greenwich in the afternoon looking  though over the river.,It   is will be relaxing to go to Greenwich in the afternoon looking  through over the river.
"The idea  about  going to the science museum is fantastic ,  I read about the museum, and it is really interesting  in   science history .","The idea  of  going to the science museum is fantastic .  I read about the museum, and it is really interesting  for   the history of science ."
"After all morning in the  Museum , it is wonderful and on  tuesday  doing some  shops , whereas the  student  have another idea for  tuesday .","After all morning in the  museum , it is wonderful and on  Tuesday  doing some  shopping , whereas the  students  have another idea for  Tuesday ."
"On Wednesday after we have  viseted  the  national  Art Gallery, we can have a chat about  ours  next holiday  at  the free time in the afternoon.","On Wednesday after we have  visited  the  National  Art Gallery, we can have a chat about  our  next holiday  during  the free time in the afternoon."
"The advertisement that the students saw is  about  a fashion show, but to go to the show you will need  cancel  the tour on  tuesday  and add the show, because the show is from 10.00 to 19.00.","The advertisement that the students saw is  for  a fashion show, but to go to the show you will need  to cancel  the tour on  Tuesday  and add the show, because the show is from 10.00 to 19.00."
"Yours  faithfully ,","Yours  sincerely ,"
Nowadays the main  attroction  in the newspapers and on television is the private  life  of famous people.,Nowadays the main  attraction  in the newspapers and on television is the private  lives  of famous people.
It is really interesting how people like  knowing  about famous  people   life .,It is really interesting how people like  to know  about famous  people's   lives .
"Without someone famous  know ,  photographs  take pictures secretly, and try to get money  on   it .","Without someone famous  knowing ,  photographers  take pictures secretly, and try to get money  for   them ."
"Sometimes being famous can get  stress , because everywhere they go there are people around them, especially journalists, trying to ask millions of questions.","Sometimes being famous can get  stressful , because everywhere they go there are people around them, especially journalists, trying to ask millions of questions."
"Famous people deserve to have freedom to do whatever they want, but it is quite difficult to do  thing  in  a public places, because nobody like  seeing famous politicians or film stars without asking questions.","Famous people deserve to have freedom to do whatever they want, but it is quite difficult to do  things  in  likes  seeing famous politicians or film stars without asking questions."
"On the whole,  to be  rich and famous  don't  always bring  happeness , whereas the majority of the population wish they were rich and famous.","On the whole,  being  rich and famous  doesn't  always bring  happiness , whereas the majority of the population wish they were rich and famous."
I am writing on behalf of my classmates to give you the information  of  'The London Fashion And Leisure Show' which we would like to go to and to  huggest offer our opinion.,I am writing on behalf of my classmates to give you the information  about  'The London Fashion And Leisure Show' which we would like to go to and to  suggest offer our opinion.
We have seen an advertisement  of  last  Saturday  'The Times' edition of the show.,We have seen an advertisement  in  last  Saturday's  'The Times' edition of the show.
"It will be held in Central Exhibition Hall, London  or  Tuesday March 14 from 10.00 to 19.00.","It will be held in Central Exhibition Hall, London  on  Tuesday March 14 from 10.00 to 19.00."
"Firstly, it will introduce the latest fashions connecting  Millenium .","Firstly, it will introduce the latest fashions connecting  Millennium ."
"Secondly, we will be able to see leisure and  sports wear  about fashion trend of next year.","Secondly, we will be able to see leisure and  sportswear  about fashion trend of next year."
It would be a fantastic opportunity  to  the students who study a fashion.,It would be a fantastic opportunity  for  the students who study a fashion.
"Finally, we can see how to do  make up  and  make  better  hairstyle  in the show.","Finally, we can see how to do  make-up  and  create  better  hairstyles  in the show."
"Most of all,  It  is free for students to enter.","Most of all,  it  is free for students to enter."
"Whenever I  recollet  it, I feel self-confident.","Whenever I  recollect  it, I feel self-confident."
"When I was twenty years old, I had to go  to  the Army.","When I was twenty years old, I had to go  into  the Army."
"However, instead of going  to  the Army, I was able to apply to join the Korea Auxiliary Police.","However, instead of going  into  the Army, I was able to apply to join the Korea Auxiliary Police."
"Suddenly, the  theft signal  came  into .","Suddenly, the  burglar alarm  came  on ."
"When we arrived at the place  which  it happened, one man started running away.","When we arrived at the place  where  it happened, one man started running away."
"When I  said to  my mother, she asked me not to do it again.","When I  told  my mother, she asked me not to do it again."
"But, I was a  police-man .","But, I was a  policeman ."
"In the name of  the class I would like to thank you for the excellent programme you have organised, especially the idea of visiting a  galery .","On behalf of  the class I would like to thank you for the excellent programme you have organised, especially the idea of visiting a  gallery ."
"However, we have seen an advertisement for the London Fashion and Leisure Show. It  would be  on the 13th of March from 10.00 to 19.00.","However, we have seen an advertisement for the London Fashion and Leisure Show. It  is  on the 13th of March from 10.00 to 19.00."
"It is a famous exhibition, where  are showed  the latest fashions, leisure and sports wear,  make up  and hairstylesthe latest fashions, leisure and sports wear, make-up and hairstyles are shown.","It is a famous exhibition, where  shown  the latest fashions, leisure and sports wear,  make-up  and hairstylesthe latest fashions, leisure and sports wear, make-up and hairstyles are shown."
We are all very interested in the show because  England  people have a different kind of life.,We are all very interested in the show because  English  people have a different kind of life.
Could  it be possible to cancel the museum and the shopping time and to replace them  by  the London Show?,Would  it be possible to cancel the museum and the shopping time and to replace them  with  the London Show?
We  may  go earlier to the Museum or on the 15th March instead of in the afternoon during our free time.,We  could  go earlier to the Museum or on the 15th March instead of in the afternoon during our free time.
I'am  looking forward to hearing from you.,I am  looking forward to hearing from you.
I had always wanted to swim  in the middle of  sharks.,I had always wanted to swim  with  sharks.
"When I was a child, I used to go with him travelling from  harbours  to  harbours .","When I was a child, I used to go with him travelling from  harbour  to  harbour ."
I grew up through the water world and I couldn't live  whitout  it.,I grew up through the water world and I couldn't live  without  it.
"Once I was fishing , when sharks came  all around me.",Once I was fishing appeared  all around me.
"Since this famous experience, I dreamt  every night about that .","Since this famous experience, I dreamt  about that every night ."
One Saturday I got  on  my motorboat and rode far away from the reef.,One Saturday I got  into  my motorboat and rode far away from the reef.
I'm writing to you concerning the London trip that my English class is going to  do  in March.,I'm writing to you concerning the London trip that my English class is going to  go on  in March.
First of all I want to thank you for the  good  programme that you  mack madearranged for my class in such a short time.,First of all I want to thank you for the  excellent  programme that you  make madearranged for my class in such a short time.
"The students are especially  very happy about the visit to the Science Museum, which we are going to do  on  tuesday  morning  of  14th March.",The students are especially  make  on  Tuesday  morning  on  14th March.
"The show is going to include the latest fashions, leisure and sports wear,  make up  and hairstyles and best of all it is free for students to get in.","The show is going to include the latest fashions, leisure and sports wear,  make-up  and hairstyles and best of all it is free for students to get in."
"The only problem is that the show is going to take place on  tuesday   of 14th March, so I'm wondering if you can make some changes in  your programme.",The only problem is that the show is going to take place on  Tuesday   to  your programme.
"My class think that it is a great opportunity for them to see the show, because  tuesday  is the last day that the show is going to be showed.","My class think that it is a great opportunity for them to see the show, because  Tuesday  is the last day that the show is going to be showed."
"We suggest  to swop swapping shopping on  tuesday   and  free time on Wednesday, so we can see the show on  tuesday  afternoon.","We suggest  swap swapping shopping on  Tuesday   with the  free time on Wednesday, so we can see the show on  Tuesday  afternoon."
I'll hope  that this matter  doesn't  going to cause you any problems and we hope for an answer as soon as possible.,I hope  that this matter  isn't  going to cause you any problems and we hope for an answer as soon as possible.
The home of the  Futere,The home of the  Future
"That is  the  question, which many people ask themselves and other people quite often.","That is  a  question, which many people ask themselves and other people quite often."
The technologi Technology is changing very fast and at the same  moment  as I'm writing my article about the future maybe technologists have made a new  owen  which  co-operate  with your refrigerator and has  in the   programme  to make dinner for you every day without  that you have  to do anything.,technology Technology is changing very fast and at the same  time  as I'm writing my article about the future maybe technologists have made a new  oven  which  co-operates  with your refrigerator and has  a   program  to make dinner for you every day without  having  to do anything.
"What about rooms which can  feel  your mood and  acting   after  that, if?","What about rooms which can  sense  your mood and  act   according to  that, if?"
If you are tired for example then your stereo might put some relaxing  musik  on and turn down the light a little bit.,If you are tired for example then your stereo might put some relaxing  music  on and turn down the light a little bit.
"Next  step might be a robot , which would do all your housework, but what would happened  to the people?",The next  step might be a robot happen  to the people?
I think that everyone should  not think  just about the positive  sides   with   technologi  but also the negative.,I think that everyone should  think not  just about the positive  side   of   technology  but also the negative.
"The technologi Technology is good as long as it gives people more free time, but what would  happened  if  freetime  became your life?","technology Technology is good as long as it gives people more free time, but what would  happen  if  free time  became your life?"
Robertson !,"Robertson ,"
"We  all are   exited  about the  programm  you've prepared for us, especially about the visiting the National Art gallery.","We  are all   excited  about the  programme  you've prepared for us, especially about the visiting the National Art gallery."
We have seen an  advertisment  for the London Fashion and Leisure Show in a newspaper.,We have seen an  advertisement  for the London Fashion and Leisure Show in a newspaper.
We think it could be a great opportunity for us because we'll see the fashion show might shop for leisure and sports wear and all the girls in our class are  intrested  in new styles in  make up  and hairdressing.,We think it could be a great opportunity for us because we'll see the fashion show might shop for leisure and sports wear and all the girls in our class are  interested  in new styles in  make-up  and hairdressing.
We all expect the trip to London to be  exiting  and hope to  get  unforgettable memories,We all expect the trip to London to be  exciting  and hope to  return with  unforgettable memories
Future  is almost unpredictable.,The future  is almost unpredictable.
But what if  we'll try  to imagine  how  our house will look like in the next 50 or 100 years?,But what if  we try  to imagine  what  our house will look like in the next 50 or 100 years?
Will we all live in the countryside in  house  surrounded by forest full of animal life?,Will we all live in the countryside in  houses  surrounded by forest full of animal life?
Or would  be our house itself  alive?,Or would  our house itself be  alive?
The   scintist  could  invent  the  4'th   dimention  and  we'll  get unlimited space inside the house.,A   scientist  could  discover  the  4th   dimension  and  we'd  get unlimited space inside the house.
"It is already  predictable  , that very soon all house  appliances will be  voice controlled .",It is already  possible  household  appliances will be  voice-controlled .
"You could tell your wardrobe what clothes you'd like to wear, your hob will cook your  preferable  meals and your  refigerator  will send orders to the supermarkets to buy the food.","You could tell your wardrobe what clothes you'd like to wear, your hob will cook your  favourite  meals and your  refrigerator  will send orders to the supermarkets to buy the food."
"Lots of changes could  be done  in the future, but the main purpose of the  house  - to  keep  comfort and safety,  to  place for you to relax and feel at home, - will remain.","Lots of changes could  occur  in the future, but the main purpose of the  home  - to  provide  comfort and safety,  a  place for you to relax and feel at home, - will remain."
Dear Mr Robertson .,"Dear Mr Robertson ,"
It is a pleasure to write to you and we want to  thanks  you for organising a school trip to London.,It is a pleasure to write to you and we want to  thank  you for organising a school trip to London.
"Recently, some students have seen an  advertisment  about a fashion and leisure show in London.","Recently, some students have seen an  advertisement  about a fashion and leisure show in London."
it  will be on the 14th and we all want to go.,It  will be on the 14th and we all want to go.
"So, it would be  greatful great if you  can  give us this opportunity to watch the show.","So, it would be  grateful great if you  could  give us this opportunity to watch the show."
This is a great opportunity to learn something  else  because most of us have not been to this kind of show  And  it is free for students.,This is a great opportunity to learn something  new  because most of us have not been to this kind of show  and  it is free for students.
it  will be incredible if we have a chance to watch the show.,It  will be incredible if we have a chance to watch the show.
We  also can  suggest how the  originally  programme can be changed.,We  can also  suggest how the  original  programme can be changed.
So we can  do  shopping instead.,So we can  go  shopping instead.
We are all looking forward  for   you  answer.,We are all looking forward  to   your  answer.
faithful sincerely,faithfully sincerely
"Because, because there was a man who  had  a serious car accident and I was walking  pass  him.","Because, because there was a man who  had had  a serious car accident and I was walking  past  him."
I was thinking 'what should I do?' I  haven't  got my mobile phone with me  And  I was  half way  between my school and home.,I was thinking 'what should I do?' I  hadn't  got my mobile phone with me  and  I was  halfway  between my school and home.
"At that time he was  unconcious  ,  I kept asking myself ' should  I wake him up or try to use my  unsure  first aid  skill  to  deal  with him."" I was struggling because I knew if I didn't help him, he would die in a short time.","At that time he was  unconscious  .  I kept asking myself ' Should  I wake him up or try to use my  dubious  first aid  skills  to  help  with him."" I was struggling because I knew if I didn't help him, he would die in a short time."
"I decided to do something  to  this man, my.","I decided to do something  for  this man, my."
My first move was to check whether  was there  any solid or liquid which could  blocked  his  breathe airways.,My first move was to check whether  there was  any solid or liquid which could  have blocked  his  breathing airways.
And I  checking  his body condition.,And I  checked  his body condition.
After that I turned on the  car   light  in order to  tell  the passing cars.,After that I turned on the  car's   lights  in order to  warn  the passing cars.
I phoned  to the police And  told them the whole story.,I phoned  and  told them the whole story.
"The  strange thing happened to me, when I got back to that man.","A  strange thing happened to me, when I got back to that man."
"Oh, sorry they were not  in  this road, they.","Oh, sorry they were not  on  this road, they."
They were  in  the next road.,They were  on  the next road.
"I am writing to thank you for  your  interesting and excellent programme , that you has  organised, and especially  concerning  the opportunity to visit the National Art Gallery and the Science Museum.","I am writing to thank you for  the  interesting and excellent programme have  organised, and especially  for  the opportunity to visit the National Art Gallery and the Science Museum."
"I am also writing to ask for your permission to go to the London Fashion and Leisure show, which  would  be on Tuesday 14 March.","I am also writing to ask for your permission to go to the London Fashion and Leisure show, which  will  be on Tuesday 14 March."
It will be a presentation of the latest fashions and  about  the leisure and sports wear.,It will be a presentation of the latest fashions and  of  the leisure and sports wear.
"Moreover there will be a  demostration  of  a modern make up  and new different, shaking hairstyles.","Moreover there will be a  demonstration  of  make-up  and new different, shaking hairstyles."
I would like to add that it  could   be definetely definitely be a great opportunity because the tickets will be free for students.,I would like to add that it  would   definitely definitely be a great opportunity because the tickets will be free for students.
"Finally, I would like to suggest that we could attend the show after visiting the Science Museum, instead of  doing  shopping.","Finally, I would like to suggest that we could attend the show after visiting the Science Museum, instead of  going  shopping."
I look  foward  to hearing from you in the near future.,I look  forward  to hearing from you in the near future.
"it  was a cold, stormy, winter's night outside.","It  was a cold, stormy, winter's night outside."
The wind was blowing and the heavy rain was drumming  agaist  our bedroom window.,The wind was blowing and the heavy rain was drumming  against  our bedroom window.
I could hear  a  owl hooting in the tree nearby.,I could hear  an  owl hooting in the tree nearby.
"Peter, my husband, was a tall, strong man in his  mid-forty .","Peter, my husband, was a tall, strong man in his  mid-forties ."
We used to  remember  our  daytime  before  felling  asleep.,We used to  recount  our  day  before  falling  asleep.
"As a postman, Peter , had to deliver letters aroud  our little village.","As a postman, Peter around  our little village."
"He knew everybody,  especially  Mrs Rilke, an elderly, eagle-eyed  teacher in retirement retired teacher, who lived in  a  old cottage with her five bad-tempered dogs.","He knew everybody,  including  Mrs Rilke, an elderly, eagle-eyed  retired retired teacher, who lived in  an  old cottage with her five bad-tempered dogs."
"She  has  never received any  letter ,  since  that morning.","She  had  never received any  letters ,  till  that morning."
She stared suspiciously at me through  her  glasses on the tip of her nose.,She stared suspiciously at me through  the  glasses on the tip of her nose.
"I realised I had to run away, but I  had still  her letter.","I realised I had to run away, but I  still had  her letter."
I am writing to let you  to know  about some comments and suggestions from some students about the trip you have already organized to London.,I am writing to let you  know  about some comments and suggestions from some students about the trip you have already organized to London.
"First of all, we would like to go to the London Fashion and Leisure  show  which takes place from Monday 13th to Wednesday 15th.","First of all, we would like to go to the London Fashion and Leisure  Show  which takes place from Monday 13th to Wednesday 15th."
It is  opened  from 10:00 to 19:00 and it is for free for students.,It is  open  from 10:00 to 19:00 and it is for free for students.
This is a great opportunity because we can  know  more about leisure and fashion  from  this city.,This is a great opportunity because we can  learn  more about leisure and fashion  in  this city.
If you allow us to go we could change the programme in  this  following way.,If you allow us to go we could change the programme in  the  following way.
"Secondly, on Tuesday morning we can  watch  the  Leisure  wear and  Sports wear  and in the afternoon we can go to the Science Museum and finally, on Wednesday, we can go and see the presentation of different hairstyles and  makes up , spending the afternoon in the National Art Gallery.","Secondly, on Tuesday morning we can  see  the  leisure  wear and  sportswear  and in the afternoon we can go to the Science Museum and finally, on Wednesday, we can go and see the presentation of different hairstyles and  make-up , spending the afternoon in the National Art Gallery."
We hope you  consider  our suggestions and  letting  us know your answer.,We hope you  will consider  our suggestions and  let  us know your answer.
"If you think  in  the future you  could  think  in  faster and better machines, advanced technology or a better life.","If you think  of  the future you  might  think  of  faster and better machines, advanced technology or a better life."
"Nowadays, our home life  allow  us to have more free time to spend doing leisure activities like practising sports or going out.","Nowadays, our home life  allows  us to have more free time to spend doing leisure activities like practising sports or going out."
"In the  close  future we will be able to do nothing because everything will be done by computers and machines , (the washing-up, hovering , ironing, gardening, cooking, etc.","In the  near  future we will be able to do nothing because everything will be done by computers and machines hoovering , ironing, gardening, cooking, etc."
"On the one hand, we will be able to spend more time with our family and not  to be  worried about anything.","On the one hand, we will be able to spend more time with our family and not  be  worried about anything."
"No more housework, no more stress,  nor  more illnesses; everything will be perfect.","No more housework, no more stress,  no  more illnesses; everything will be perfect."
It is your  desicion .,It is your  decision .
I AM WRITING  YOU WITH REFERENCE IN  THE LONDON TRIP WE ARE  HAVING   PRERY  SOON.,I AM WRITING  TO  THE LONDON TRIP WE ARE  MAKING   VERY  SOON.
"I AM WRITING  IN   REPRECENTATION BEHALF OF MY GROUP, AND ALL OF US WANT TO SAY THANK YOU FOR  TAKE  US ABROAD.","I AM WRITING  ON   REPRESENTATION BEHALF OF MY GROUP, AND ALL OF US WANT TO SAY THANK YOU FOR  TAKING  US ABROAD."
"WE  SAW  THE ACTIVITIES  PROGRAM  ALREADY AND WE THINK IT IS EXCITING, ESPECIALLY THE VISIT TO THE SCIENCE MUSEUM.","WE  HAVE SEEN  THE ACTIVITIES  PROGRAMME  ALREADY AND WE THINK IT IS EXCITING, ESPECIALLY THE VISIT TO THE SCIENCE MUSEUM."
"THERE IS GOING TO BE THE LONDON FASHION AND LEISURE SHOW  ON THE 14TH OF MARCH, FROM 10.00 TO 19.00.","THE LONDON FASHION AND LEISURE SHOW IS GOING TO BE  ON THE 14TH OF MARCH, FROM 10.00 TO 19.00."
WE ARE  REALY   INTERESTING  IN THIS SHOW.,WE ARE  REALLY   INTERESTED  IN THIS SHOW.
"EVENTHOUGH  YOUR  PROGRAM  IS PERFECT, WE  WILL  PREFER TO GO THERE.","EVEN THOUGH  YOUR  PROGRAMME  IS PERFECT, WE  WOULD  PREFER TO GO THERE."
COULD  YOU PLEASE BE SO KIND  AND   CHANGE  SOME OF THE ACTIVITIES THAT  WE WILL HAVE ?,WOULD  YOU PLEASE BE SO KIND  AS   TO CHANGE  SOME OF THE ACTIVITIES THAT  ARE PLANNED ?
"WE THINK IT IS A  GRATE   OPORTUNITY , BECAUSE AS YOU KNOW, WE DON'T HAVE  ACCES  TO THAT KIND OF  SHOWS  IN THIS CITY.","WE THINK IT IS A  GREAT   OPPORTUNITY , BECAUSE AS YOU KNOW, WE DON'T HAVE  ACCESS  TO THAT KIND OF  SHOW  IN THIS CITY."
"IN CASE YOU DECIDE TO CHANGE THE  PROGRAM , WE SUGGEST  ON TUSDAY   GO  TO THE SHOWGOING TO THE SHOW ON TUESDAY AND ON  WENSDAY ,  INSTED  OF FREE TIME,  VISIT  THE SCIENCE MUSEUM.","IN CASE YOU DECIDE TO CHANGE THE  PROGRAMME , WE SUGGEST  TUESDAY   GOING  TO THE SHOWGOING TO THE SHOW ON TUESDAY AND ON  WEDNESDAY ,  INSTEAD  OF FREE TIME,  VISITING  THE SCIENCE MUSEUM."
WE ARE LOOKING FORWARD  FOR  YOUR ANSWER.,WE ARE LOOKING FORWARD  TO  YOUR ANSWER.
YOUR   SINCERLY  ;,"YOURS   SINCERELY  ,"
I WAS LIVING QUITE  CLOUSE  TO PORTOBELLO ROAD BUT I DIDN'T KNOW  VERY WELL THE AREA  BECAUSE ALL THE TIME I JUST HAD TO GET OFF  IN  THE  COURNER  OF MY  HOUSE .,I WAS LIVING QUITE  CLOSE  TO PORTOBELLO ROAD BUT I DIDN'T KNOW  THE AREA VERY WELL  BECAUSE ALL THE TIME I JUST HAD TO GET OFF  AT  THE  CORNER  OF MY  STREET .
"BUT THAT DAY,  LIKE  I WAS KIND OF DRUNK, I DIDN'T REALISE THAT THE BUS TOOK A DIFFERENT  WAY  ;  SO, WHEN I NOTICED IT, THE DRIVER WAS ALREADY ASKING ME TO GET OFF, BECAUSE WE  WHERE  IN THE GARAGE IN PORTOBELLO.","BUT THAT DAY,  AS  I WAS KIND OF DRUNK, I DIDN'T REALISE THAT THE BUS TOOK A DIFFERENT  ROUTE  .  SO, WHEN I NOTICED IT, THE DRIVER WAS ALREADY ASKING ME TO GET OFF, BECAUSE WE  WERE  IN THE GARAGE IN PORTOBELLO."
"I TOLD HIM , I DIDN'T KNOW WHERE I WAS, BUT HE JUST SEID  SORRY.",I TOLD HIM SAID  SORRY.
I WAS  REALY   SCARE .,I WAS  REALLY   SCARED .
THERE WERE SOME PEOPLE  AROUN  BUT I WAS AFRAID TO ASK THEM THE WAY I SHOULD TAKE.,THERE WERE SOME PEOPLE  AROUND  BUT I WAS AFRAID TO ASK THEM THE WAY I SHOULD TAKE.
"AT LEAST FINALLY I ASKED A BOY AND HE SAID ""I'LL TELL YOU WHERE  IS THE PLACE YOU ARE LOOKING FOR , JUST FOLLOW ME"".","LAST FINALLY I ASKED A BOY AND HE SAID ""I'LL TELL YOU WHERE  THE PLACE YOU ARE LOOKING FOR IS , JUST FOLLOW ME""."
"10 MINUTES AFTER I WAS FOLLOWING HIM  10 MINUTES, I  START   KNOWING TO RECOGNISE THE PLACE, AND I WAS  FELLING  MORE  CONFORTABLE .","AFTER FILLOWING HIM FOR  10 MINUTES, I  STARTED   TO KNOW TO RECOGNISE THE PLACE, AND I WAS  FEELING  MORE  COMFORTABLE ."
HE TOOK ME RIGHT  IN  THE FRONT OF MY HOUSE.,HE TOOK ME RIGHT  TO  THE FRONT OF MY HOUSE.
"I  THANK  HIM  SO  MUCH, AND I WAS SO HAPPY THAT I ASKED  TO THE RIGHT PERSON AND NOTHING WRON BAD  HAPPEN  TO ME.","I  THANKED  HIM  VERY  MUCH, AND I WAS SO HAPPY THAT I ASKED  WRONG BAD  HAPPENED  TO ME."
I am writing to you with a request for a change in the  scedule  of our trip to London.,I am writing to you with a request for a change in the  schedule  of our trip to London.
"But, first of all, I would like to thank you for the time and the effort you have  made  to organize the entire programme.","But, first of all, I would like to thank you for the time and the effort you have  put in  to organize the entire programme."
Unfortunatly  I have to suggest a change for the programme  of  Tuesday the 14th of March.,Unfortunately  I have to suggest a change for the programme  for  Tuesday the 14th of March.
"That's because the ""Fashion and Leisure Show"" takes place that  date  in London.","That's because the ""Fashion and Leisure Show"" takes place that  day  in London."
"All of the students - including  my self  ,  think of this as a great opportunity that it would be a  pitty  to  be missed , especially when students can enter for free.","All of the students - including  myself   -  think of this as a great opportunity that it would be a  pity  to  miss , especially when students can enter for free."
My suggestion is to use Wednesday's afternoon free time as an alternative  solution of  the shopping.,My suggestion is to use Wednesday's afternoon free time as an alternative  to  the shopping.
I had to  try  my limits for once again.,I had to  test  my limits for once again.
"I've always wanted to taste the freedom that birds have, always been interested in listening to my blood  pumpping  in my  vains , full of adrenaline,  tolet  myself free, to shake, from excitement.","I've always wanted to taste the freedom that birds have, always been interested in listening to my blood  pumping  in my  veins , full of adrenaline,  to let  myself free, to shake, from excitement."
"There  were my thoughts when I first saw the advertisement for a "" Sky Dive "".","These  were my thoughts when I first saw the advertisement for a "" skydive ""."
The following Sunday I  fint   my self  on a  plain  flying 20000ft from the ground.,The following Sunday I  found   myself  on a  plane  flying 20000ft from the ground.
"Well, danger is in my nature  an  Life is nothing but an adventure.","Well, danger is in my nature  and  Life is nothing but an adventure."
I'm a student  of  your college and I  write  this letter for my class because I'm the class chief.,I'm a student  at  your college and I  am writing  this letter for my class because I'm the class chief.
On  the hall  of  our classroom we have seen an advertisement for the London Fashion and Leisure Show and we would like to go to the show if  is it that is possible.,In  the hall  outside  our classroom we have seen an advertisement for the London Fashion and Leisure Show and we would like to go to the show if  that that is possible.
"First of all we  make thanks  for the  good  programme and especially for the visit to the Science Museum on Tuesday 14th.  About  the London Fashion and Leisure Show we  are  very  excite  to go because it's  on  extravagant and unusual show with leisure,  sports wear  and hairstyles.","First of all we  thank you  for the  excellent  programme and especially for the visit to the Science Museum on Tuesday 14th.  Regarding  the London Fashion and Leisure Show we  would be  very  excited  to go because it's  an  extravagant and unusual show with leisure,  sportswear  and hairstyles."
